class: state.BaseSkill
id: kick
level: 1
cost: 5
damage: 2d6
speed: 5

id: piercing
level: 1

id: slashing
level: 1

id: crushing
level: 1

id: chopping
level: 1

id: thrusting
level: 1

id: whipping
level: 1

id: tackle
level: 1

id: unarmed
level: 1

id: climbing
level: 1

id: bash
cost: 10
level: 5
speed: 7

id: rescue
level: 10
cost: 20
damage: 4d6
speed: 8

id: searching
level: 1

id: swim
level: 1

id: butcher
level: 1

id: tracking
level: 1

id: second attack
level: 1

id: third attack
level: 1
prereq: second attack

id: dodge
level: 1

id: parry
level: 1

id: armour penetration
level: 1

id: enhanced damage
level: 1

id: disarm
level: 10
prof: FIGHTER

#Thief skills
id: sneak
level: 1
prof: THIEF

id: hide
level: 1
prof: THIEF

id: backstab
level: 1
prof: THIEF

id: circle
level: 1
prof: THIEF

id: steal
level: 1
prof: THIEF

id: constants.AbilityConstants SHIELD_BLOCK
level: 1
prof: FIGHTER

id: dual wield
level: 1
prof: FIGHTER
