class: state.Spell
id: burning hands
level: 1
cost: 5
damage: 2d6
target: SINGLE
speed: 5
mana: FIRE

id: fireball
level: 4
cost: 15
damage: 4d6
target: MANY
speed: 5
mana: FIRE
prereq: burning hands

id: detect invisible
level: 1
cost: 10
damage: 0
target: SINGLE
speed: 5
mana: FIRE
spellEffect: DETECT
duration: 2d6+10

id: detect hidden
level: 1
cost: 10
damage: 0
target: SINGLE
speed: 5
mana: FIRE
spellEffect: DETECT
duration: 2d6+10

id: infravision
level: 10
cost: 25
damage: 0
duration: 200
target: SINGLE
speed: 5
mana: FIRE
spellEffect: BUFF

id: blindness
level: 1
cost: 10
damage: 0
duration: 200
target: SINGLE
speed: 5
mana: FIRE
spellEffect: BUFF

id: cure blindness
level: 1
cost: 10
damage: 0
duration: 200
target: SINGLE
speed: 5
mana: FIRE
spellEffect: CURE-BLINDNESS
