class: state.skills.Spell
id: bless
level: 1
cost: 10
damage: 0
duration: 200
target: SINGLE
speed: 5
mana: AIR
spellEffect: BUFF

id: levitate
level: 10
cost: 25
damage: 0
duration: 200
target: SINGLE
speed: 5
mana: AIR
spellEffect: FLY

id: dust devil
level: 7
cost: 17
damage: 1d6+10
target: SINGLE
speed: 5
mana: AIR

id: lightning
level: 15
cost: 22
damage: 2d50+50
target: SINGLE
speed: 5
mana: AIR
prereq: dust devil

id: vortex
level: 25
cost: 26
damage: 3d60+50
target: SINGLE
speed: 5
mana: AIR
prereq: dust devil

id: whirlwind
level: 40
cost: 40
damage: 5d60+100
target: SINGLE
speed: 10
mana: AIR
prereq: vortex

id: chain lightning
level: 60
cost: 60
damage: 5d60+200
target: SINGLE
speed: 10
mana: AIR
prereq: lightning

id: advanced lightning
level: 80
cost: 40
damage: 5d60+400
target: SINGLE
speed: 10
mana: AIR
prereq: chain lightning
