class: state.Spell
id: chill touch
level: 3
cost: 5
mana: WATER
damage: 2d6+10
speed: 5

id: ice blast
level: 10
cost: 5
damage: 2d6+80
speed: 5
mana: WATER
prereq: chill touch

id: acid arrow
level: 10
cost: 5
damage: 2d6+120
speed: 5
mana: WATER
prereq: chill touch

id: acid rain
level: 10
cost: 5
damage: 2d6+200
target: MANY
speed: 5
mana: WATER
prereq: acid arrow

id: cone of cold
level: 20
cost: 5
damage: 2d6+400
speed: 5
mana: WATER
prereq: ice blast

id: blur
level: 6
cost: 5
target: SELF
speed: 5
mana: WATER
spellEffect: BLUR
# Has a 10% dodge chance when hit with basic attack.
duration: 2d6+100

id: protection
level: 10
cost: 5
damage: 0
amount: 17
target: SELF
speed: 5
mana: WATER
spellEffect: ARMOUR
duration: 2d6+100

id: sanctury
level: 10
cost: 5
damage: 100
# damage is duration
target: SELF
speed: 5
mana: WATER
spellEffect: SANC
duration: 2d6+100

id: barrier
level: 30
cost: 50
target: SELF
speed: 5
mana: WATER
spellEffect: SANC
duration: 2d6+100

id: invisibility
level: 10
cost: 20
damage: 0
target: SINGLE
speed: 5
mana: WATER
spellEffect: INVIS
duration: 2d6+10

id: weaken
level: 10
cost: 20
damage: -3
target: SINGLE
speed: 5
mana: WATER
spellEffect: DEBUFF
duration: 2d6+10
stat: str

id: sleep
level: 10
cost: 20
damage: 0
target: SINGLE
speed: 5
mana: WATER
spellEffect: SLEEP
duration: 1d6

# Can use this spell in combat
id: improved sleep
level: 40
cost: 20
damage: 0
target: SINGLE
speed: 5
mana: WATER
spellEffect: SLEEP
duration: 1d6

id: water walking
level: 1
cost: 10
damage: 0
duration: 200
target: SINGLE
speed: 5
mana: WATER
spellEffect: BUFF

id: improved blur
level: 60
cost: 5
damage: 0
target: SELF
speed: 5
mana: WATER
spellEffect: BLUR
# Has a 10% dodge chance when hit with basic attack.
duration: 2d6+100
